text,author,time,text_clean
"👍🤠ZOLUZI🤠👍 >Jalan&Jembatan&Wadug HANCUR LEBOR,Banjir Dkk PANTURA TIMUR Hanya 1 ☝️ Segera Jadi kan Jalan Tol Demak-Tuban 🛣  Lewat PR.INDAH RBG.",@J.Gober007,1 bulan yang lalu,zoluzi jalanjembatanwadug hancur leborbanjir dkk pantura timur hanya   segera jadi kan jalan tol demaktuban   lewat prindah rbg
"Kapan KPK ke Rembang,Jepara Pantura dan Solo? 😌",@J.Gober007,1 bulan yang lalu,kapan kpk ke rembangjepara pantura dan solo 
"Di sana di'Hajar 🤡 🚀RUDAL🚀 🤡 dkk. Di sini di'Hajar>Kerja Susah/di""Monopoli,Pajak2 makin men'Cekik,Sembako&BBM dkk makin Mahal&Langka+BUSUxXx 🤮 Banyak Kriminal/Garong2&Bajingan2 Tengix=Joker Cs 🤡 dan Karbitz Rembang Pantura 🐗 beserta Kroco Coro2 nya 🪳,bantuan2 Tidak Tepat Sasaran/kelompok2 tertentu Makan Tidur Dapat Uang>Malas+Negara BANGKRUT!!! 😖 Dan Masalah2 se'Lautan lainnya.Kacau3x 😖 Moga2  SEGERA ADA Perubahan,biar Indonesia Lebih Baik,AMIN 🤲",@J.Gober007,1 bulan yang lalu,di sana dihajar  rudal  dkk di sini dihajarkerja susahdimonopolipajak makin mencekiksembakobbm dkk makin mahallangkabusuxxx  banyak kriminalgarongbajingan tengixjoker cs  dan karbitz rembang pantura  beserta kroco coro nya bantuan tidak tepat sasarankelompok tertentu makan tidur dapat uangmalasnegara bangkrut  dan masalah selautan lainnyakacaux  moga  segera ada perubahanbiar indonesia lebih baikamin 
"🥳 PESTA RAKYAT 🥳 HARUS LEBIH BANYAK,BERANI DAN SERENTAK SELURUH NEGERI 😇 H4J4R TOTAL>Joker Cs 🤡 dan Karbitz Rembang Pantura 🐗 beserta Kroco Coro2 nya 🪳...! 1ONE PIECE ☠️ ✊️💣🔥👻👿🤡👿👻🔥💣✊️",@J.Gober007,1 bulan yang lalu, pesta rakyat  harus lebih banyakberani dan serentak seluruh negeri  hjr totaljoker cs  dan karbitz rembang pantura  beserta kroco coro nya  one piece  
"👍🤠ZOLUZI🤠👍 >Jalan&Jembatan&Wadug HANCUR LEBOR,Banjir Dkk PANTURA TIMUR Hanya 1 ☝️ Segera Jadi kan Jalan Tol Demak-Tuban 🛣  Lewat PR.INDAH RBG.",@J.Gober007,1 bulan yang lalu,zoluzi jalanjembatanwadug hancur leborbanjir dkk pantura timur hanya   segera jadi kan jalan tol demaktuban   lewat prindah rbg
Saya sangat merasa dirugikan gara2 pembagian kuota haji tambahan seharusnya saya bisa berangkat thn 2024 eeh malah dijual ke orang berduit,@Surau-q7s,1 bulan yang lalu,saya sangat merasa dirugikan gara pembagian kuota haji tambahan seharusnya saya bisa berangkat thn  eeh malah dijual ke orang berduit
maling ttp lah maling😂,@yamaniasbakband,1 bulan yang lalu,maling ttp lah maling
Udah GK trll garang ya si pencuri uang umat ini. Setan ini yg merasa paling nkri,@saktiaz8466,1 bulan yang lalu,udah gk trll garang ya si pencuri uang umat ini setan ini yg merasa paling nkri
"Alasan demi keselamatan jama'ah itu cuma dibuat-buat Yaqut saja...ahirnya dan intinya adalah uang, buktinya haji plus/khusus dijual dg sangat mahal.",@harryhariyono-b8r,1 bulan yang lalu,alasan demi keselamatan jamaah itu cuma dibuatbuat yaqut sajaahirnya dan intinya adalah uang buktinya haji pluskhusus dijual dg sangat mahal
"Yaqut,Yaqut apalagi alasanmu tak tau malu pada keluargamu dan yang kau banggakan organisasi nu😊😊🎉",@MthaibAw,1 bulan yang lalu,yaqutyaqut apalagi alasanmu tak tau malu pada keluargamu dan yang kau banggakan organisasi nu
bingung msh ada yang bela manusia kayak yaqut ini,@emirakbar4624,1 bulan yang lalu,bingung msh ada yang bela manusia kayak yaqut ini
Gus garelo korupsi,@TunggalRahayu-w5z,1 bulan yang lalu,gus garelo korupsi
Korban mas mas solo,@Utawi_iki_iku,1 bulan yang lalu,korban mas mas solo
"Apakah korupsi bukan termasuk penghinaan terhadap negara, harusnya yg baklist tu yg korupsi",@sultanzakyah8603,1 bulan yang lalu,apakah korupsi bukan termasuk penghinaan terhadap negara harusnya yg baklist tu yg korupsi
Muakk muakkliat bedebah KPK. Antek solo,@AudigoldGold,1 bulan yang lalu,muakk muakkliat bedebah kpk antek solo
"Klo tidak takut, knp gak sebut orang yg terlibat di kasus ini?",@DetektifLangitan,1 bulan yang lalu,klo tidak takut knp gak sebut orang yg terlibat di kasus ini
Sudah jelas merugikan jamaah reguler kok masih ngeles...,@SyukronJamhuri,1 bulan yang lalu,sudah jelas merugikan jamaah reguler kok masih ngeles
Emang salah,@Qumarosjuned,1 bulan yang lalu,emang salah
skenario untuk meloloskan yaqut bebas dakwaan ...,@petanikreatif2044,1 bulan yang lalu,skenario untuk meloloskan yaqut bebas dakwaan 
Punya bukti rekaman kasih uang ke mulyono jadi AMAN😂😂,@DjohanBu,1 bulan yang lalu,punya bukti rekaman kasih uang ke mulyono jadi aman
"Take Ada yah past I YAQUT sch Tersangka TAHAN teg as pak President Kala u boo may do yak in I RAKYAT,jgn harap dua periods Kala u Kasus INI mengendap tan selesai",@OppoSeri-q6s,1 bulan yang lalu,take ada yah past i yaqut sch tersangka tahan teg as pak president kala u boo may do yak in i rakyatjgn harap dua periods kala u kasus ini mengendap tan selesai
"jangan MASUK a ng in KpK nya,Ramadhan ramadhan sidang Japan teruskan",@OppoSeri-q6s,1 bulan yang lalu,jangan masuk a ng in kpk nyaramadhan ramadhan sidang japan teruskan
JEMPUT paksaa Kala u tan dtang,@OppoSeri-q6s,1 bulan yang lalu,jemput paksaa kala u tan dtang
Maling tetap maling,@hedarmarbas646,1 bulan yang lalu,maling tetap maling
Sori bang takut ini urusan cuan 😂 tidak sesederhanaitu😂,@cctvibuk,1 bulan yang lalu,sori bang takut ini urusan cuan  tidak sesederhanaitu
Si Abang Jago masih belum masuk sell juga ini 🤦‍♂️🤦‍♂️,@athanchaniago5839,1 bulan yang lalu,si abang jago masih belum masuk sell juga ini 
wajah keliatan sumringah dari  ucapan nya tanda tanda arogan dan pongah nya mau kambuh lagi....,@teknotrack,1 bulan yang lalu,wajah keliatan sumringah dari  ucapan nya tanda tanda arogan dan pongah nya mau kambuh lagi
JANGAN DITUNDA 2 KALSU GA NANTINYA AMA RAKYAT IND AJA DINEPALKAN,@bundamoeryati1169,1 bulan yang lalu,jangan ditunda  kalsu ga nantinya ama rakyat ind aja dinepalkan
Hukuman korupsi paling ringan dan dilindungi,@yutubaa4636,1 bulan yang lalu,hukuman korupsi paling ringan dan dilindungi
KPK juga ada unsur politisnya dalam penetapan tersangka?!! Dan terkesan tebang pilih dalam penegakan hukum,@PercilDumang,1 bulan yang lalu,kpk juga ada unsur politisnya dalam penetapan tersangka dan terkesan tebang pilih dalam penegakan hukum
"Kpk warisan jkw. Yg di sidang menterinya jkw.
Smpe kiamat gk bakal slsai.
Kecuali kpk di ganti",@shatrialangit12,1 bulan yang lalu,"kpk warisan jkw yg di sidang menterinya jkw
smpe kiamat gk bakal slsai
kecuali kpk di ganti"
Kpk di pengaruhi pembenci yg bermental duwit tak mempertimbangkan keselamatan,@jokorianto3335,1 bulan yang lalu,kpk di pengaruhi pembenci yg bermental duwit tak mempertimbangkan keselamatan
KPK jangan sekali muter muter dlm kuota.haji.ingat anakmu bro nggak main main ini tobatnya susah bro,@MustofaKamal-k8r,1 bulan yang lalu,kpk jangan sekali muter muter dlm kuotahajiingat anakmu bro nggak main main ini tobatnya susah bro
"Hadeuh... Ini tersangka masih bisa bicara santai. KPK lemah, undang-undang carut marut hasil sajian si Jokowi",@RizalCodet-y3i,1 bulan yang lalu,hadeuh ini tersangka masih bisa bicara santai kpk lemah undangundang carut marut hasil sajian si jokowi
"KpK lemah amat
G serius",@Cegil.seduniaa,1 bulan yang lalu,"kpk lemah amat
g serius"
Kementrian agama selalu kena ciduk kpk karena disitulah ada lahan basah,@AbuShameer-h7g,1 bulan yang lalu,kementrian agama selalu kena ciduk kpk karena disitulah ada lahan basah
Sudah jelas . Apalagi segera di hukum,@ZulherMan-m9s,1 bulan yang lalu,sudah jelas  apalagi segera di hukum
"KPK Gak punya keberanian,",@mustayardimustayardi1665,1 bulan yang lalu,kpk gak punya keberanian
Kumpulan kawan2 nya yaqut sang mega korupsi harus di telusuri juga,@JainulArif-i5o,1 bulan yang lalu,kumpulan kawan nya yaqut sang mega korupsi harus di telusuri juga
Nggak jelas ..koruptornya canggih KPK-nya sudah nggak ada taringnya lgi..bubarin aja kpk karna sudah tidak efektif seperti dulu jaman Abraham samad.kpk skrng cuma formalitas dan koruptornya nggak ada yg takutblagi,@Rholieztp62afze,1 bulan yang lalu,nggak jelas koruptornya canggih kpknya sudah nggak ada taringnya lgibubarin aja kpk karna sudah tidak efektif seperti dulu jaman abraham samadkpk skrng cuma formalitas dan koruptornya nggak ada yg takutblagi
Knp beliau belom di tahan?,@tille_tv,1 bulan yang lalu,knp beliau belom di tahan
"PAKE SOGOKAN APA NIH ORANG LOM DITAHAN TAHAN JUGA AMA KPK, 

REZIM MULYONO BRUTAL MEMANG 
😂Y",@beruanghitam357,1 bulan yang lalu,"pake sogokan apa nih orang lom ditahan tahan juga ama kpk 

rezim mulyono brutal memang 
y"
