text,author,time
"👍🤠ZOLUZI🤠👍 >Jalan&Jembatan&Wadug HANCUR LEBOR,Banjir Dkk PANTURA TIMUR Hanya 1 ☝️ Segera Jadi kan Jalan Tol Demak-Tuban 🛣  Lewat PR.INDAH RBG.",@J.Gober007,1 bulan yang lalu
"Kapan KPK ke Rembang,Jepara Pantura dan Solo? 😌",@J.Gober007,1 bulan yang lalu
"Di sana di'Hajar 🤡 🚀RUDAL🚀 🤡 dkk. Di sini di'Hajar>Kerja Susah/di""Monopoli,Pajak2 makin men'Cekik,Sembako&BBM dkk makin Mahal&Langka+BUSUxXx 🤮 Banyak Kriminal/Garong2&Bajingan2 Tengix=Joker Cs 🤡 dan Karbitz Rembang Pantura 🐗 beserta Kroco Coro2 nya 🪳,bantuan2 Tidak Tepat Sasaran/kelompok2 tertentu Makan Tidur Dapat Uang>Malas+Negara BANGKRUT!!! 😖 Dan Masalah2 se'Lautan lainnya.Kacau3x 😖 Moga2  SEGERA ADA Perubahan,biar Indonesia Lebih Baik,AMIN 🤲",@J.Gober007,1 bulan yang lalu
"🥳 PESTA RAKYAT 🥳 HARUS LEBIH BANYAK,BERANI DAN SERENTAK SELURUH NEGERI 😇 H4J4R TOTAL>Joker Cs 🤡 dan Karbitz Rembang Pantura 🐗 beserta Kroco Coro2 nya 🪳...! 1ONE PIECE ☠️ ✊️💣🔥👻👿🤡👿👻🔥💣✊️",@J.Gober007,1 bulan yang lalu
"👍🤠ZOLUZI🤠👍 >Jalan&Jembatan&Wadug HANCUR LEBOR,Banjir Dkk PANTURA TIMUR Hanya 1 ☝️ Segera Jadi kan Jalan Tol Demak-Tuban 🛣  Lewat PR.INDAH RBG.",@J.Gober007,1 bulan yang lalu
Saya sangat merasa dirugikan gara2 pembagian kuota haji tambahan seharusnya saya bisa berangkat thn 2024 eeh malah dijual ke orang berduit,@Surau-q7s,1 bulan yang lalu
maling ttp lah maling😂,@yamaniasbakband,1 bulan yang lalu
Udah GK trll garang ya si pencuri uang umat ini. Setan ini yg merasa paling nkri,@saktiaz8466,1 bulan yang lalu
"Alasan demi keselamatan jama'ah itu cuma dibuat-buat Yaqut saja...ahirnya dan intinya adalah uang, buktinya haji plus/khusus dijual dg sangat mahal.",@harryhariyono-b8r,1 bulan yang lalu
"Yaqut,Yaqut apalagi alasanmu tak tau malu pada keluargamu dan yang kau banggakan organisasi nu😊😊🎉",@MthaibAw,1 bulan yang lalu
bingung msh ada yang bela manusia kayak yaqut ini,@emirakbar4624,1 bulan yang lalu
Gus garelo korupsi,@TunggalRahayu-w5z,1 bulan yang lalu
Korban mas mas solo,@Utawi_iki_iku,1 bulan yang lalu
"Apakah korupsi bukan termasuk penghinaan terhadap negara, harusnya yg baklist tu yg korupsi",@sultanzakyah8603,1 bulan yang lalu
Muakk muakkliat bedebah KPK. Antek solo,@AudigoldGold,1 bulan yang lalu
"Klo tidak takut, knp gak sebut orang yg terlibat di kasus ini?",@DetektifLangitan,1 bulan yang lalu
Sudah jelas merugikan jamaah reguler kok masih ngeles...,@SyukronJamhuri,1 bulan yang lalu
Emang salah,@Qumarosjuned,1 bulan yang lalu
skenario untuk meloloskan yaqut bebas dakwaan ...,@petanikreatif2044,1 bulan yang lalu
Punya bukti rekaman kasih uang ke mulyono jadi AMAN😂😂,@DjohanBu,1 bulan yang lalu
"Take Ada yah past I YAQUT sch Tersangka TAHAN teg as pak President Kala u boo may do yak in I RAKYAT,jgn harap dua periods Kala u Kasus INI mengendap tan selesai",@OppoSeri-q6s,1 bulan yang lalu
"jangan MASUK a ng in KpK nya,Ramadhan ramadhan sidang Japan teruskan",@OppoSeri-q6s,1 bulan yang lalu
JEMPUT paksaa Kala u tan dtang,@OppoSeri-q6s,1 bulan yang lalu
Maling tetap maling,@hedarmarbas646,1 bulan yang lalu
Sori bang takut ini urusan cuan 😂 tidak sesederhanaitu😂,@cctvibuk,1 bulan yang lalu
Si Abang Jago masih belum masuk sell juga ini 🤦‍♂️🤦‍♂️,@athanchaniago5839,1 bulan yang lalu
wajah keliatan sumringah dari  ucapan nya tanda tanda arogan dan pongah nya mau kambuh lagi....,@teknotrack,1 bulan yang lalu
JANGAN DITUNDA 2 KALSU GA NANTINYA AMA RAKYAT IND AJA DINEPALKAN,@bundamoeryati1169,1 bulan yang lalu
Hukuman korupsi paling ringan dan dilindungi,@yutubaa4636,1 bulan yang lalu
KPK juga ada unsur politisnya dalam penetapan tersangka?!! Dan terkesan tebang pilih dalam penegakan hukum,@PercilDumang,1 bulan yang lalu
"Kpk warisan jkw. Yg di sidang menterinya jkw.
Smpe kiamat gk bakal slsai.
Kecuali kpk di ganti",@shatrialangit12,1 bulan yang lalu
Kpk di pengaruhi pembenci yg bermental duwit tak mempertimbangkan keselamatan,@jokorianto3335,1 bulan yang lalu
KPK jangan sekali muter muter dlm kuota.haji.ingat anakmu bro nggak main main ini tobatnya susah bro,@MustofaKamal-k8r,1 bulan yang lalu
"Hadeuh... Ini tersangka masih bisa bicara santai. KPK lemah, undang-undang carut marut hasil sajian si Jokowi",@RizalCodet-y3i,1 bulan yang lalu
"KpK lemah amat
G serius",@Cegil.seduniaa,1 bulan yang lalu
Kementrian agama selalu kena ciduk kpk karena disitulah ada lahan basah,@AbuShameer-h7g,1 bulan yang lalu
